Lp;Nr_katalogowy;Nazwa;Cena_netto;Jm;Iloœæ;Vat
1;12001623B;Uszczelniacz skrzyni biegów;9,15;szt;1;23
2;826696;Zestaw sprzêg³a z ³o¿yskiem wyciskowym;340,74;szt;1;23
